HABIT,DATE,DAY,TIME,VALUE,NOTE
coffee,2019-11-03,SUN,9:29 AM,1.0,
coffee,2019-11-03,SUN,6:31 PM,1.0,
coffee,2019-11-02,SAT,2:21 PM,1.0,
coffee,2019-11-01,FRI,7:14 AM,1.0,
coffee,2019-10-31,THU,9:26 AM,1.0,
coffee,2019-10-31,THU,11:19 AM,1.0,
coffee,2019-10-31,THU,1:26 PM,1.0,
coffee,2019-10-30,WED,7:47 AM,1.0,
coffee,2019-10-30,WED,10:52 PM,1.0,
coffee,2019-10-29,TUE,8:44 AM,1.0,
coffee,2019-10-29,TUE,11:15 AM,1.0,
coffee,2019-10-29,TUE,3:07 PM,1.0,
coffee,2019-10-28,MON,4:38 AM,1.0,
coffee,2019-10-28,MON,7:51 AM,1.0,
coffee,2019-10-28,MON,4:45 PM,1.0,
coffee,2019-10-27,SUN,10:46 AM,1.0,
coffee,2019-10-27,SUN,12:16 PM,1.0,
coffee,2019-10-26,SAT,3:38 AM,1.0,
coffee,2019-10-25,FRI,5:38 AM,1.0,
coffee,2019-10-25,FRI,8:03 AM,1.0,
coffee,2019-10-24,THU,6:46 AM,1.0,
coffee,2019-10-24,THU,1:16 PM,1.0,
coffee,2019-10-23,WED,7:48 AM,1.0,
coffee,2019-10-22,TUE,2:56 PM,1.0,
coffee,2019-10-22,TUE,7:30 PM,1.0,
coffee,2019-10-21,MON,11:04 AM,1.0,
coffee,2019-10-21,MON,1:40 PM,1.0,
coffee,2019-10-21,MON,8:19 PM,1.0,
coffee,2019-10-20,SUN,10:07 AM,1.0,
coffee,2019-10-20,SUN,6:20 PM,1.0,
coffee,2019-10-19,SAT,10:58 AM,1.0,
coffee,2019-10-19,SAT,3:46 PM,1.0,
coffee,2019-10-18,FRI,6:18 AM,1.0,
coffee,2019-10-18,FRI,7:52 AM,1.0,
coffee,2019-10-18,FRI,9:58 AM,1.0,
coffee,2019-10-17,THU,7:28 AM,1.0,
coffee,2019-10-17,THU,12:08 PM,1.0,
coffee,2019-10-17,THU,4:03 PM,1.0,
coffee,2019-10-16,WED,8:08 AM,1.0,
coffee,2019-10-16,WED,10:58 AM,1.0,
coffee,2019-10-16,WED,4:58 PM,1.0,
coffee,2019-10-15,TUE,9:28 AM,1.0,
coffee,2019-10-15,TUE,11:27 AM,1.0,
coffee,2019-10-15,TUE,4:04 PM,1.0,
coffee,2019-10-14,MON,6:40 AM,1.0,
coffee,2019-10-14,MON,1:07 PM,1.0,
coffee,2019-10-13,SUN,11:11 AM,1.0,
coffee,2019-10-13,SUN,4:54 PM,1.0,
coffee,2019-10-12,SAT,9:13 AM,1.0,
coffee,2019-10-11,FRI,6:55 AM,1.0,
coffee,2019-10-11,FRI,1:03 PM,1.0,
coffee,2019-10-10,THU,7:13 AM,1.0,
coffee,2019-10-10,THU,11:17 AM,1.0,
coffee,2019-10-10,THU,11:50 AM,1.0,
coffee,2019-10-09,WED,6:54 AM,1.0,
coffee,2019-10-09,WED,7:10 PM,1.0,
coffee,2019-10-08,TUE,7:15 AM,1.0,
coffee,2019-10-08,TUE,8:50 AM,1.0,
coffee,2019-10-07,MON,8:00 AM,1.0,
coffee,2019-10-07,MON,9:35 AM,1.0,
coffee,2019-10-07,MON,5:58 PM,1.0,
coffee,2019-10-06,SUN,8:30 AM,1.0,
coffee,2019-10-06,SUN,4:33 PM,1.0,
coffee,2019-10-04,FRI,8:23 AM,1.0,
coffee,2019-10-04,FRI,12:18 PM,1.0,
coffee,2019-10-03,THU,10:51 AM,1.0,
coffee,2019-10-03,THU,12:10 PM,1.0,
coffee,2019-10-02,WED,8:01 AM,1.0,
coffee,2019-10-02,WED,7:07 PM,1.0,
coffee,2019-10-02,WED,7:34 PM,1.0,
coffee,2019-10-01,TUE,5:45 AM,1.0,
coffee,2019-10-01,TUE,8:02 AM,1.0,
coffee,2019-09-30,MON,6:22 AM,1.0,
coffee,2019-09-30,MON,8:37 AM,1.0,
coffee,2019-09-29,SUN,10:11 AM,2.0,
coffee,2019-09-29,SUN,4:29 PM,1.0,
coffee,2019-09-29,SUN,5:29 PM,1.0,

